external_order_no,customer_name,order_date,remarks
ALCPO2510206,安健致远,2025-05-16 00:00:00,欠色卡5/17取消
AHJPO2528170,越南安恒,2025-05-16 00:00:00,同Z24039-154
4510198222,星昌/星联,2025-05-17 00:00:00,
J20250517001,盈兴,2025-05-17 00:00:00,水洗本白耐黄
J20250517002,盈兴,2025-05-17 00:00:00,排550Y
ALCPO2510324,安健致远,2025-05-17 00:00:00,
CGD20250500319,联成,2025-05-17 00:00:00,
CGD20250500340,联成,2025-05-17 00:00:00,5/5多发26.09Y扣用
ALCPO2510345,安健致远,2025-05-18 00:00:00,5/18收到剪确认
K25220/221/222,康硕,2025-05-18 00:00:00,5/12收到
ALCPO2510370,安健致远,2025-05-19 00:00:00,
ALCPO2510359,安健致远,2025-05-19 00:00:00,
AHJPO2528567,安恒,2025-05-19 00:00:00,"5/26收到,剪安健确认"
AHJPO2528583,安恒,2025-05-19 00:00:00,
4510198645,星昌/星联,2025-05-19 00:00:00,
4510198680,星昌/星联,2025-05-19 00:00:00,
ALCPO2510383,安健致远,2025-05-20 00:00:00,
