supplier_name,receipt_date,product_code,product_name,received_qty,unit,related_external_order_no
宏溢/金宏盛,2/26,24MS02009,"水洗黑Washed Black 002-24-00 354纹 280-290g 单层网 54""",247.142857142857,Y,ALCPO2500670
峰星,2/22,24MS02026,"黑色139-18-00 D027纹 250-260g单层网布 54""",524,Y,ALCPO2500670
峰星,2/21,24MS02040,"纯灰色02 Pure Grey 2 ADHD D027纹 250-260g 单层网布 54""",410.769230769231,Y,ALCPO2500670
峰星,2/20,24MS02045,"海盐色Chalk 036-90-02 D027纹250-260g 单层网布 54""",386,Y,ALCPO2500670
峰星,2/22,24MS02053,"蓝灰色Soft Slate 106-55-05 D027纹 250-260g 单层网布54""",415.6,Y,ALCPO2500670
峰星,2/18,24MS02055,"灰泥粉Pink Stucco AF9X D027纹250-260g 单层网布 54""",414.4,Y,ALCPO2500670
峰星,2/26,24MS02056,"亮橘色Orange Flare 013-64-47 D027纹 250-260g 单层网布54""",410.4,Y,ALCPO2500670
峰星,2/21,24MS02059,"柠绿色Solar Lime-R 064-84-51 D027纹 250-260g 单层网布54""",379.230769230769,Y,ALCPO2500670
宏溢/金宏盛,2/20,24MS02126,"海盐色Chalk 036-90-02 354纹280-290g 单层网 54""",537.5,Y,ALCPO2500670
荣翔,3/78,24MS02157,"白色109-98-01 LY-YG1190/YS1190纹 250g 小四方泡布 54""",557.2,Y,ALCPO2500670
盛玮,3/15,24FB01239,"海盐色Chalk 036-90-02 250g 加密真美布 54""",2509.2,Y,ALCPO2500673
荣翔,3/7,24MS02163,"浮光紫Digital Gleam 136-81-08 LY-YG1190/YS1190纹 250g 小四方泡布 54""",394.4,Y,ALCPO2500699
盛玮,2/27,24IM00292,"真诚粉True Pink 152-57-30 佳积布 54"" 250g",392,Y,ALCPO2500699
荣翔,2/23,24MS02170,"海盐色Chalk 036-90-02 LY-YG1190/YS1190纹 250g 小四方泡布 54""",402,Y,AHJPO2504192
荣翔,2/23,24MS02164,"玻璃蓝Glass Blue 116-85-09 LY-YG1190/YS1190纹 250g 小四方泡布 54""",402.8,Y,AHJPO2504198
扣库,,,0.5mm素面镭射TPU,38,Y,CGD20250100821
鑫达盛/大丰,2/23,,240-250g/码 棕色拉毛四面弹  54〃,175.454545454545,码,J20250116001
鑫达盛,2/25,,240-250g/码 黑色拉毛四面弹  54〃,149.428571428571,码,J20250116001
永顺,3/5,,黑色细牛津布（同NIKE）绿色样鞋） 1.5米,80,码,J20250116001
盛玮,2/23,WJ000434,"180G前卫绿色佳积布54""",832.777777777778,码,4510176017
盛玮,3/13,WJ000439,"180G粉白色佳积布54""",538.333333333333,码,4510176017
双锦,2/19,WB13220,"180G 白色K209网布54""",1105,码,4510176071
福泽,2/18,WM000104,"360G 白色 全棉毛巾布54""",103,码,4510176071
福泽,2/17,WM000105,"360G 黑色 全棉毛巾布54""",90,码,4510176071
四海,3/7,24FB00646,"8安 綠桂冠(17-6009 TPG) 帆布54""",59,Y,ALCPO2501065
四海,3/7,24FB00675,"8安 开心果(12-0110TPG) 帆布54""",119,Y,ALCPO2501065
四海,3/7,24FB00465,"8安 天國藍(14-4210 TPG) 帆布54""",80,Y,ALCPO2501065
四海,3/7,24FB00191,"8安 深青苔綠(18-0312TPG) 帆布 54""",232,Y,ALCPO2501065
四海,3/7,24FB00193,"8安 暗橡樹(16-1144 TPG) 帆布54""",60,Y,ALCPO2501065
一纺/泓大,3/1,24MS00289,"摩卡(18-1019TPG) YS-0731 三明治网布 54""",60.8695652173913,Y,ALCPO2501065
一纺,2/15,24MS00291,"深青苔綠(18-0312 TPG) YS-0731三明治网布 54""",19,Y,ALCPO2501065
扣库,扣K5728库存,24MS00425,"榆樹綠(16-0613 TPX) YS-0731 三明治网布 54""",29,Y,ALCPO2501065
扣库,扣K6115库存,24MS00576,"天國藍(14-4210 TPG) YS-0731 三明治网布 54""",21,Y,ALCPO2501065
一纺/泓大,2/28,24MS00580,"沙漠綠（16-0110 TPG）  YS-0731三明治网布 54""",66.9565217391304,Y,ALCPO2501065
扣库,扣K6124库存,24MS00908,"霧氣藍(18-4215 TPG) YS-0731 三明治网布 54""",14,Y,ALCPO2501065
联盛/大丰,3/4,24MS00914,"葵蜜色(11-4300 TPG) YS-0731 三明治网布 54""",52.6315789473684,Y,ALCPO2501065
荣翔,3/1,24MS01455,"黑色 220g K208/BK布 54""",2213.47826086957,Y,ALCPO2501065
佰盛,3/8,24MS01551,"海洋蓝MOONLIT OCEAN（19-4122TPX）  YS-0797 三层网54""",14,Y,ALCPO2501065
鑫茂,3/10,24FB00042,"8安 浅灰色（16-4703 TPG) 帆布54""",329,Y,ALCPO2501065
顺发,3/8,24FB00180,"中灰色 220g 佳积布 54""",55,Y,ALCPO2501065
四海,3/8,23FB00577,"8安 羊皮色(14-1122 TPG) 帆布54""",492,Y,ALCPO2501065
四海,3/5,23FB00583,"8安 禽褐(16-1324 TPG) 帆布54""",113,Y,ALCPO2501065
四海,3/7,23FB00610,"8安 皇冠藍(18-3922 TPG) 帆布54""",35,Y,ALCPO2501065
左为,3/8,23FB00621,"8安 島嶼青(15-5425 TPG) 帆布54""",316,Y,ALCPO2501065
四海,3/9,23FB00571,"8安 米白(11-0701 TPG) 帆布54""",187,Y,ALCPO2501065
杰成,3/1,16MS01315,"黑色 三明治网布 54""",150,Y,ALCPO2501065
荣翔,2/9,23FB00292,"明亮白(11-0601 TPX) 毛巾布54""",386.296296296296,Y,ALCPO2501065
四海,3/5,23FB01236,"8安 樺樹色(13-0905 TPG) 帆布54""",125,Y,ALCPO2501065
鑫茂,3/6,23FB01087,"8安 軟木褐(16-1422 TPG) 帆布54""",224,Y,ALCPO2501065
鑫茂,2/28,23FB00929,"8安 古沙色（15-1314TPG）  帆布 54""",1435,Y,ALCPO2501065
扣库,扣K6115库存,23MS01056,"雨竹灰15-4101TPX 三明治网布54""",20,Y,ALCPO2501065
扣库,扣K5710库存,23MS01210,"天鵝灰(12-0000 TPG) YS-0731 三明治网布 54""",18,Y,ALCPO2501065
扣库,扣K6115库存,23MS01216,"烏鴉咖(19-0000 TPG) YS-0731 三明治网布 54""",21,Y,ALCPO2501065
联盛,2/12,23MS01569,"明亮白(11-0601 TPG) YS-0731 三明治网布 54""",397.631578947368,Y,ALCPO2501065
柄亿/泓大,2/26,23MS02086,"水灰(17-1502 TPG) Ys-2332 尼龙网纱 54""",288.636363636364,Y,ALCPO2501065
华宇/大丰,2/23,23MS02224,"中灰色 NEUTRAL GREY(17-4402TPG) YS-0797 三层网 54""",56.6666666666667,Y,ALCPO2501065
四海,3/7,24FB00814,"8安 水绿色(13-6006TPG) 帆布54""",194,Y,ALCPO2501065
泉亿,3/6,24FB00944,"海洋蓝MOONLIT OCEAN（19-4122TPX）  220g 佳积布 54""",18.4,Y,ALCPO2501065
尚好,2/19,WB10878,"白色210D牛津布54""",200,码,4510176440
双锦,2/17,WJ000328,"150G白色佳积布54""",5714,码,4510176440
尚好,2/19,WY000085,"黑色210D牛津布54""",100,码,4510176440
峰星,2/19,,黑K905低弹平布网布,1055.21739130435,Y,CGD20250100964
峰星,2/18,22IM00135,"黑色 DJ132 单层网布 54"" 240g",125.416666666667,Y,AHJPO2505152
联盛/金宏盛,2/25,WS001365,"300G 佳宝蓝色YS2975三层网54""",1057.66666666667,码,4510177139
客富/金宏盛,2/18,WS001301,"360-380G 白色空气层54""",684,码,4510177094
峰星/金宏盛,3/2,24MS00955,"橘子色17-1140TPG XF-3066纹 单层网布 54""",232.1875,Y,ALCPO2501666
峰星/金宏盛,3/9,24MS01434,"星蓝18-4026TPG XF-3066纹 单层网布 54""",528.4375,Y,ALCPO2501666
峰星/大丰,2/18,23MS00148,"奶油黄11-4302TPG XF-3066纹 单层网布 54""",95.3125,Y,ALCPO2501666
峰星/金宏盛,3/17,23MS02270,"椰奶白11-0608TPG XF-3066纹 单层网布 54""",268.75,Y,ALCPO2501666
华宇,3/13,24MS01796,"黑色 RM1247- D纹 三层网 54""",1382.5,Y,ALCPO2501664
华宇,3/20,24MS01796,"黑色 RM1247- D纹 三层网 54""",40,Y,ALCPO2501664
华宇,3/21,24MS01797,"白色 RM1247- D纹 三层网 54""",225.882352941176,Y,ALCPO2501664
华宇/金宏盛,3/4,24MS01799,"蓝色S.T.Web RM1247-D纹 三层网 54""",169.615384615385,Y,ALCPO2501664
华宇,3/4,24MS01800,"粘土灰Clay Ash RM1247- D纹 三层网 54""",423.653846153846,Y,ALCPO2501664
华宇,3/22,24MS01801,"深灰色Stealth RM1247- D纹 三层网 54""",224.901960784314,Y,ALCPO2501664
华宇/金宏盛/大丰,2/27,24MS01803,"运动蓝Athletic Navy 533C RM1247- D纹 三层网 54""",70.9803921568627,Y,ALCPO2501664
华宇,3/1,24MS02000,"淡蓝色W.F.P.Blue RM1247- D纹三层网 54""",450.576923076923,Y,ALCPO2501664
弘发,2/14,21FB00828,"GH209#杂灰色 汗衣布 54""POLYESTER",1364,Y,ALCPO2501670
双辉,2/16,24MS00150,"焦褐绿Burnt Olive18-0521TCX 220g BK网布 54""",435.217391304348,Y,ALCPO2501670
升大/金宏盛,2/23,24MS00154,"玉石白White Onyx 12-4300TPG GF-731/HD-A6932/GH-H2220-06纹330g 三层网 54""",983.611111111111,Y,ALCPO2501670
升大/金宏盛,2/20,24MS00158,"焦褐绿Burnt Olive18-0521TCX GF-731/HD-A6932/GH-H2220-06纹330g 三层网 54""",228.055555555556,Y,ALCPO2501670
升大/金宏盛,3/4,24MS00159,"米白色Chalk White GF-731/HD-A6932/GH-H2220-06纹 330g 三层网 54""",301.666666666667,Y,ALCPO2501670
荣翔/泓大,2/23,24MS00511,"运动蓝Athletic Navy 220g BK网布 54""",130.434782608696,Y,ALCPO2501670
盛玮,2/27,24MS00701,"征途绿N.J.Green BK网布 54""",40.5555555555556,Y,ALCPO2501670
