泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2524787,Z25072-413,"250g 佳积布54""",白色109-98-01,76,Y,,,,,AH2601015,2026-01-06 00:00:00,100*2+102+39=341,,,,,,,
ALCPO2524787,Z25102-429,"菱形 350g 单层网布54""",黑色139-18-00,191,Y,7,,,,AH2601016,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25102-428,"菱形 350g 单层网布54""",黑色139-18-00,191,Y,,,,,AH2601016,2026-01-06 00:00:00,60*6+22=382,,,,,,,
,Z25077-228-3,"260g BK-Q01单层网布 54"" 耐黄",白色109-98-01,294,Y,7,,,,AH2601016,2026-01-06 00:00:00,,,,,,,,
,Z25077-230-5,"260g BK-Q01单层网布 54"" 耐黄",白色109-98-01,273,Y,,,,,AH2601016,2026-01-06 00:00:00,,,,,,,,
,Z25077-230-6,"260g BK-Q01单层网布 54"" 耐黄",白色109-98-01,19,Y,,,,,AH2601016,2026-01-06 00:00:00,94*4+95+92+23=586,,,,,,,
,Z24013-433-6,"YS-0731 三明治网布 54""",蚝蘑13-4201 TPG,2,Y,1,,,,AH2601016,2026-01-06 00:00:00,,,,,,,,
,Z23041-113-20,"三明治网布 54""-",法橡木13-0400 TPG,3,Y,1,,,,AH2601016,2026-01-06 00:00:00,,,,,,,,
ALCPO2600085,Z25093-352,"220-230g 莱卡布
54"";; -",浅灰017-79-00,45,Y,1,,,,AH2601017,2026-01-07 00:00:00,,,,,,,,
,Z25077-229-2,"K208 240g BK网布 54""",黑色139-18-00,243,码,5,,,,AH2601017,2026-01-07 00:00:00,,,,,,,,
,Z25077-231-4,"K208 240g BK网布 54""",黑色139-18-00,200,码,,,,,AH2601017,2026-01-07 00:00:00,,,,,,,,
,Z25077-231-5,"K208 240g BK网布 54""",黑色139-18-00,46,码,,,,,AH2601017,2026-01-07 00:00:00,105*4+69=489,,,,,,,
ALCPO2524787,Z25101-436,"CL21056 单层网布 54""",黑色139-18-00,84,Y,2,,,,AH2601017,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25101-436-1,"CL21056 单层网布 54""",黑色139-18-00,9,Y,,,,,AH2601017,2026-01-07 00:00:00,48+45=93,,,,,,,
ALCPO2524787,Z25102-431,"WWDB0633 200g 佳积布 54""",红色009-39-36,95,Y,1,,,,AH2601018,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25073-427,"354纹280-290g 单层网 54"" 耐黄",海盐色036-90-02,42,Y,1,,,,AH2601018,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25079-407,"YH M 354纹 280-290g 单层网布 54""",米白036-90-02,26,Y,1,,,,AH2601018,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-421,"D027纹 250-260g单层网布 54""",白色109-98-01,74,Y,2,,,,AH2601018,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-420,"D027纹 250-260g单层网布 54""",白色109-98-01,83,Y,,,,,AH2601018,2026-01-07 00:00:00,100+57=157,,,,,,,
ALCPO2524787,Z25072-410-1,"D027纹 250-260g单层网布 54""",黑色139-18-00,26,Y,3,,,,AH2601019,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-410,"D027纹 250-260g单层网布 54""",黑色139-18-00,55,Y,,,,,AH2601019,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-419,"D027纹 250-260g单层网布 54""",黑色139-18-00,53,Y,,,,,AH2601019,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416-1,"D027纹 250-260g单层网布 54""",黑色139-18-00,25,Y,,,,,AH2601019,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416,"D027纹 250-260g单层网布 54""",黑色139-18-00,96,Y,,,,,AH2601019,2026-01-07 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416-2,"D027纹 250-260g单层网布 54""",黑色139-18-00,19,Y,,,,,AH2601019,2026-01-07 00:00:00,2*100+74=274,,,,,,,
,Z25077-228-3,"DJ132 240g POLYPAG单层网布 54"" 耐黄",白色109-98-01,105,码,3,,,,AH2601020,2026-01-07 00:00:00,,,,,,,,
,Z25077-230-5,"DJ132 240g POLYPAG单层网布 54"" 耐黄",白色109-98-01,93,码,,,,,AH2601020,2026-01-07 00:00:00,,,,,,,,
,Z25077-230-6,"DJ132 240g POLYPAG单层网布 54"" 耐黄",白色109-98-01,7,码,,,,,AH2601020,2026-01-07 00:00:00,2*100+5=205,,,,,,,
,Z25075-222-3,"180g 丝光布 54""",白色,77,码,3,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
,Z25075-223-4,"180g 丝光布 54""",白色,88,码,,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
,Z25075-222-4,"180g 丝光布 54""",白色,77,码,,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
,Z25075-223-5,"180g 丝光布 54""",白色,69,码,,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
,Z25075-222-5,"180g 丝光布 54""",白色,42,码,,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
,Z25075-223-6,"180g 丝光布 54""",白色,40,码,,,,,AH2601021,2026-01-08 00:00:00,2*150+93=393,,,,,,,
ALCPO2524787,Z25087-406,"200g WWDB0633网布 54""",海盐色036-90-02,15,Y,1,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
,,小缸费,海盐色036-90-02,1,个,,,,,AH2601021,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25078-409,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,34,Y,3,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25079-408,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,62,Y,,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25073-425-1,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,7,Y,,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25073-425,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,62,Y,,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25073-424,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,19,Y,,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25073-426-1,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,35,Y,,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25073-424-1,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,18,Y,,,,,AH2601022,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25073-426,"354纹 280-290g单层网 54"" 耐黄",白色109-98-01,48,Y,,,,,AH2601022,2026-01-08 00:00:00,100*2+85=285,,,,,,,
,Z25077-229-2,"250g 组织布 54""",黑色139-18-00,126,Y,3,,,,AH2601023,2026-01-08 00:00:00,,,,,,,,
,Z25077-231-4,"250g 组织布 54""",黑色139-18-00,100,Y,,,,,AH2601023,2026-01-08 00:00:00,,,,,,,,
,Z25077-231-5,"250g 组织布 54""",黑色139-18-00,24,Y,,,,,AH2601023,2026-01-08 00:00:00,90*2+70=250,,,,,,,
ALCPO2524787,Z25087-406,"佳积布网布54""250G",海盐色036-90-02,39,Y,1,,,,AH2601023,2026-01-08 00:00:00,,,,,,,,
,,小缸费,海盐色036-90-02,1,个,,,,,AH2601023,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25102-430,"YS1060 小椭圆三明治网布 54""",白色109-98-01,29,Y,1,,,,AH2601023,2026-01-08 00:00:00,,,,,,,,
ALCPO2600151,Z25102-430-1,"YS1060 小椭圆三明治网布 54""",白色109-98-01,17,Y,,,,,AH2601023,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25072-417,"D027纹 250-260g 单层网布54""",胜利蓝126-21-11,49,Y,1,,,,AH2601024,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25072-412-1,"D027纹 250-260g 单层网布54""",胜利蓝126-21-11,17,Y,,,,,AH2601024,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25078-409,"BK 单层网布54""200G",蓝色126-34-11,109,Y,4,,,,AH2601024,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25079-408,"BK 单层网布54""200G",蓝色126-34-11,202,Y,,,,,AH2601024,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25103-422,"BK 单层网布54""200G",蓝色126-34-11,57,Y,,,,,AH2601024,2026-01-08 00:00:00,,,,,,,,
ALCPO2524787,Z25103-423,"BK 单层网布54""200G",蓝色126-34-11,66,Y,,,,,AH2601024,2026-01-08 00:00:00,124+120+118+72=434,,,,,,,
