泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
销样,ZRD26005-033,"250g 莱卡网布 54""",竹桃粉156-44-34,2,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-030,"250g 莱卡网布 54""",湖绿色086-78-13,4,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-034,"250g 莱卡网布 54""",湖绿色086-78-13,3,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-027,"250g 莱卡网布 54""",湖绿色086-78-13,6,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-024,"K106/DJT 1834 纹 单层网布 54""",亚麻色038-81-05,4,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-023,"K106/DJT 1834 纹 单层网布 54""",柔灰047-82-01,2,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-014,"K106/DJT 1834 纹 单层网布 54""",暗黑色139-18-00,4,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-013,"K106/DJT 1834 纹 单层网布 54""",白色109-98-01,2,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-022,"K106/DJT 1834 纹 单层网布 54""",白色109-98-01,2,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-011,"K106/DJT 1834 纹 单层网布 54""",白色109-98-01,5,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-021,"K106/DJT 1834 纹 单层网布 54""",白色109-98-01,2,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-020,"K106/DJT 1834 纹 单层网布 54""",白色109-98-01,1,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-019,"K106/DJT 1834 纹 单层网布 54""",白色109-98-01,2,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-014,"K106/DJT 1834 纹 单层网布 54""",白色,3,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-013,"K106/DJT 1834 纹 单层网布 54""",白色,4,Y,,,,,AH2601101,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-011,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,3,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-013,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,3,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-024,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,1,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-022,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,1,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-023,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,1,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-019,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,1,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-021,"K106/DJT 1834 纹 单层网布 54""",锐步白109-98-01,1,Y,,,,,AH2601102,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-010,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,4,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-012,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,18,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-009,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,2,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-016,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,10,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-015,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,3,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-018,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,4,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-017,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,4,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-018,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,2,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-017,"K106/DJT 1834 纹 单层网布 54""",海盐色036-90-02,2,Y,,,,,AH2601103,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25073-453,"250g 加密真美布54""",白色109-98-01,292,Y,7,,,,AH2601104,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25073-453-1,"250g 加密真美布54""",白色109-98-01,66,Y,,,,,AH2601104,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25073-463,"250g 加密真美布54""",白色109-98-01,53,Y,,,,,AH2601104,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25073-463-1,"250g 加密真美布54""",白色109-98-01,37,Y,,,,,AH2601104,2026-01-28 00:00:00,,,,,,,,
ALCPO2601138,Z25073-453-3,"250g 加密真美布54""",白色109-98-01,135,Y,,,,,AH2601104,2026-01-28 00:00:00,99+97+98+101+97+100+24=616,,,,,,,
ALCPO2601138,Z25073-463-3,"250g 加密真美布54""",白色109-98-01,33,Y,,,,,AH2601104,2026-01-28 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"佳积布 54""250g",雾蓝色126-50-07,430,Y,5,,,,AH2601105,2026-01-28 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-2,"佳积布 54""250g",雾蓝色126-50-07,61,Y,,,,,AH2601105,2026-01-28 00:00:00,4*102+83=491,,,,,,,
ALCPO2601885,Z26002-006,"YSK133纹220g 单层网布 54""",草石棕16-1210TPG,13,Y,1,,,,AH2601105,2026-01-28 00:00:00,实发15Y(多2Y),,,,,,,
ALCPO2601941,Z25033-108-1,"K107 250g 单层网布54""",黑色,29,Y,1,,,,AH2601105,2026-01-28 00:00:00,,,,,,,,
ALCPO2601941,Z25033-109-1,"K107 250g 单层网布54""",黑色,54,Y,,,,,AH2601105,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445,"250g 粗纹真美布 54""",海盐色036-90-02,375,Y,7,,,,AH2601106,2026-01-28 00:00:00,发错材料加密的纹路,,,,,,,
ALCPO2600624,Z25075-445-1,"250g 粗纹真美布 54""",海盐色036-90-02,70,Y,,,,,AH2601106,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25076-457,"250g 粗纹真美布 54""",海盐色036-90-02,215,Y,,,,,AH2601106,2026-01-28 00:00:00,100*5+99+61=660,,,,,,,
ALCPO2600624,Z25078-447,"组织布 54"" 250g",粉色154-77-21,51,Y,2,,,,AH2601106,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25078-447-1,"组织布 54"" 250g",粉色154-77-21,11,Y,,,,,AH2601106,2026-01-28 00:00:00,,,,,,,,
ALCPO2600624,Z25079-449,"组织布 54"" 250g",粉色154-77-21,46,Y,,,,,AH2601106,2026-01-28 00:00:00,,,,,,,,
ALCPO2601138,Z25078-447-2,"组织布 54"" 250g",粉色154-77-21,21,Y,,,,,AH2601106,2026-01-28 00:00:00,97+32=129,,,,,,,
ALCPO2524424,Z25015-401,"莱卡布54""",灰青綠16-0518TPG,70,Y,1,,,,AH2601107,2026-01-29 00:00:00,,,,,,,,
,,小缸费,灰青綠16-0518TPG,1,个,,,,,AH2601107,2026-01-29 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445,"250g 粗纹真美布 54""",海盐色036-90-02,375,Y,7,,,,AH2601107,2026-01-29 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445-1,"250g 粗纹真美布 54""",海盐色036-90-02,70,Y,,,,,AH2601107,2026-01-29 00:00:00,,,,,,,,
ALCPO2600624,Z25076-457,"250g 粗纹真美布 54""",海盐色036-90-02,215,Y,,,,,AH2601107,2026-01-29 00:00:00,6*102+48=660,,,,,,,
ALCPO2600718,Z25069-379,"230g 佳绩布54""",浅粉色13-1405TPG,128,Y,2,,,,AH2601107,2026-01-29 00:00:00,,,,,,,,
110+18=128,,小缸费,浅粉色13-1405TPG,1,个,,,,,AH2601107,2026-01-29 00:00:00,,,,,,,,
ALCPO2600718,Z25069-378,"230g 佳绩布54""",苦棕19-1317TPG,165,Y,2,,,,AH2601108,2026-01-29 00:00:00,,,,,,,,
110+55=165,,小缸费,苦棕19-1317TPG,1,个,,,,,AH2601108,2026-01-29 00:00:00,,,,,,,,
ALCPO2600718,Z25069-377,"230g 佳绩布54""",蓝色19-3930TPG,130,Y,2,,,,AH2601108,2026-01-29 00:00:00,,,,,,,,
107+23=130,,小缸费,蓝色19-3930TPG,1,个,,,,,AH2601108,2026-01-29 00:00:00,,,,,,,,
ALCPO2600166,Z25070-376,"200g 佳积布54""",靛青蓝19-4025TPG,165,Y,2,,,,AH2601108,2026-01-29 00:00:00,,,,,,,,
112+53=165,,小缸费,靛青蓝19-4025TPG,1,个,,,,,AH2601108,2026-01-29 00:00:00,,,,,,,,
ALCPO2603732,Z25106-329-2,"YS1066纹 230g 平布 54"";;",白色11-0601TPG,132,Y,2,,,,AH2601108,2026-01-29 00:00:00,100+32=132,,,,,,,
,Z25075-222-6,"180g 丝光布 54""",白色,22,码,2,,,,AH2601109,2026-01-29 00:00:00,,,,,,,,
,Z25075-223-7,"180g 丝光布 54""",白色,30,码,,,,,AH2601109,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-7,"180g 丝光布 54""",白色,35,码,,,,,AH2601109,2026-01-29 00:00:00,,,,,,,,
,Z25075-223-8,"180g 丝光布 54""",白色,39,码,,,,,AH2601109,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-8,"180g 丝光布 54""",白色,22,码,,,,,AH2601109,2026-01-29 00:00:00,,,,,,,,
,Z25075-223-9,"180g 丝光布 54""",白色,30,码,,,,,AH2601109,2026-01-29 00:00:00,150+28=178,,,,,,,
ALCPO2600624,Z25078-447,"YHM 354 单层网布 54""",粉色154-77-21,31,Y,1,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
ALCPO2600624,Z25078-447-1,"YHM 354 单层网布 54""",粉色154-77-21,7,Y,,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
ALCPO2600624,Z25079-449,"YHM 354 单层网布 54""",粉色154-77-21,28,Y,,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
ALCPO2601138,Z25078-447-2,"YHM 354 单层网布 54""",粉色154-77-21,13,Y,,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-6,"组织布 54""250g",白色109-98-01,8,码,1,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-7,"组织布 54""250g",白色109-98-01,13,码,,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-8,"组织布 54""250g",白色109-98-01,8,码,,,,,AH2601110,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-6,"WX-018 260g 毛巾布 54""",白色109-98-01,17,码,2,,,,AH2601111,2026-01-29 00:00:00,,,,,,,,
,Z25075-223-7,"WX-018 260g 毛巾布 54""",白色109-98-01,22,码,,,,,AH2601111,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-7,"WX-018 260g 毛巾布 54""",白色109-98-01,28,码,,,,,AH2601111,2026-01-29 00:00:00,,,,,,,,
,Z25075-223-8,"WX-018 260g 毛巾布 54""",白色109-98-01,29,码,,,,,AH2601111,2026-01-29 00:00:00,,,,,,,,
,Z25075-222-8,"WX-018 260g 毛巾布 54""",白色109-98-01,17,码,,,,,AH2601111,2026-01-29 00:00:00,,,,,,,,
,Z25075-223-9,"WX-018 260g 毛巾布 54""",白色109-98-01,22,码,,,,,AH2601111,2026-01-29 00:00:00,100+35=135,,,,,,,
销样,ZRD26006-037,"YHM 354 单层网布 54""",新灰1 031-78-00,1,Y,1,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26007-038,"YHM 354 单层网布 54""",新灰1 031-78-00,1,Y,,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26006-045,"YHM 354 单层网布 54""",奇幻紫141-60-26,1,Y,1,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26007-044,"YHM 354 单层网布 54""",奇幻紫141-60-26,1,Y,,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26006-039,"YHM 354 单层网布 54""",水晶粉156-82-15,1,Y,1,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26007-040,"YHM 354 单层网布 54""",水晶粉156-82-15,1,Y,,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26001-007,"D027纹250-260g单层网布54""",竹桃粉156-44-34,4,Y,1,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26001-001,"D027纹250-260g单层网布54""",复位红013-43-37,2,Y,1,,,,AH2601112,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-015,"280-290g354纹单层网布54""",油灰色024-51-06,2,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-024,"280-290g354纹单层网布54""",亚麻色038-81-05,2,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-018,"280-290g354纹单层网布54""",砂岩色014-73-08,2,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-017,"280-290g354纹单层网布54""",湖绿色086-78-13,2,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-010,"K106/DJT 1834纹单层网布 54""",砂岩色014-73-08,7,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-009,"K106/DJT 1834纹单层网布 54""",油灰色024-51-06,4,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26002-015,"K106/DJT 1834纹单层网布 54""",油灰色024-51-06,4,Y,,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26006-045,200g  组织布 54”,奇幻紫141-60-26,1,Y,1,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26007-044,200g  组织布 54”,奇幻紫141-60-26,1,Y,,,,,AH2601113,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26005-032,"CL21056 单层网布 54""",矢量蓝118-30-29,1,Y,1,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26004-029,"CL21056 单层网布 54""",矢量蓝118-30-29,2,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26003-025,"CL21056 单层网布 54""",矢量蓝118-30-29,3,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26004-036,"CL21056 单层网布 54""",灰色6 000-27-00,1,Y,1,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26005-035,"CL21056 单层网布 54""",灰色6 000-27-00,1,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26003-026,"CL21056 单层网布 54""",灰色6 000-27-00,1,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26004-031,"CL21056 单层网布 54""",糖果粉008-65-24,2,Y,1,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26005-033,"CL21056 单层网布 54""",糖果粉008-65-24,1,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26003-028,"CL21056 单层网布 54""",糖果粉008-65-24,2,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26004-030,"CL21056 单层网布 54""",湖绿色086-78-13,2,Y,1,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26003-027,"CL21056 单层网布 54""",湖绿色086-78-13,3,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
销样,ZRD26005-034,"CL21056 单层网布 54""",湖绿色086-78-13,1,Y,,,,,AH2601114,2026-01-30 00:00:00,,,,,,,,
ALCPO2600624,Z25073-458,"加密真美布250g 54""",清风蓝099-73-02,190,Y,8,,,,AH2601115,2026-01-30 00:00:00,,,,,,,,
ALCPO2600624,Z25073-458-1,"加密真美布250g 54""",清风蓝099-73-02,402,Y,,,,,AH2601115,2026-01-30 00:00:00,,,,,,,,
ALCPO2600624,Z25073-463,"加密真美布250g 54""",清风蓝099-73-02,102,Y,,,,,AH2601115,2026-01-30 00:00:00,,,,,,,,
ALCPO2600624,Z25073-463-1,"加密真美布250g 54""",清风蓝099-73-02,69,Y,,,,,AH2601115,2026-01-30 00:00:00,104*5+102*2+103=827,,,,,,,
ALCPO2601138,Z25073-463-3,"加密真美布250g 54""","清风蓝099-73-
02",63,Y,,,,,AH2601115,2026-01-30 00:00:00,,,,,,,,
ALCPO2600624,Z25073-459,"加密真美布250g 54""",淡咖色014-47-06,263,Y,6,,,,AH2601115,2026-01-30 00:00:00,,,,,,,,
ALCPO2600624,Z25073-459-1,"加密真美布250g 54""",淡咖色014-47-06,243,Y,,,,,AH2601115,2026-01-30 00:00:00,93*2+94+92+90+44=506,,,,,,,
ALCPO2601885,Z26002-004,D553-03 2908 330g 单层网布 上树脂,黑色,183,Y,6,,,,AH2601116,2026-01-30 00:00:00,,,,,,,,
ALCPO2601885,Z26002-007,D553-03 2908 330g 单层网布 上树脂,黑色,330,Y,,,,,AH2601116,2026-01-30 00:00:00,101*5+8=513,,,,,,,
ALCPO2601885,Z26001-003,"TF18-Q08220g 磨毛布 54""",一度灰14-4002TPG,38,Y,1,,,,AH2601116,2026-01-30 00:00:00,,,,,,,,
,,小缸费,一度灰14-4002TPG,1,个,,,,,AH2601116,2026-01-30 00:00:00,,,,,,,,
,Z25075-222-6,"240g DJ132 单层网布 54""",白色109-98-01,6,码,1,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
,Z25075-223-7,"240g DJ132 单层网布 54""",白色109-98-01,8,码,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
,Z25075-222-7,"240g DJ132 单层网布 54""",白色109-98-01,9,码,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
,Z25075-223-8,"240g DJ132 单层网布 54""",白色109-98-01,11,码,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
,Z25075-222-8,"240g DJ132 单层网布 54""",白色109-98-01,6,码,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
,Z25075-223-9,"240g DJ132 单层网布 54""",白色109-98-01,8,码,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
ALCPO2601138,Z24110-519-15,"DJ132单层网布 240g 54""",黑色139-18-00,15,Y,1,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
ALCPO2601138,Z25076-226-4,"DJ132单层网布 240g 54""",黑色139-18-00,11,Y,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
ALCPO2600624,Z25072-454,"D027纹 单层网布 54""",空灵蓝127-36-35,88,Y,1,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
ALCPO2600624,Z25072-455,"D027纹250-260g单层网布 54""",米黄038-90-04,94,Y,2,,,100+71=171,AH2601117,2026-01-31 00:00:00,,,,,,,,
ALCPO2600624,Z25072-455-1,"D027纹250-260g单层网布 54""",米黄038-90-04,77,Y,,,,,AH2601117,2026-01-31 00:00:00,,,,,,,,
ALCPO2524787,Z25072-421,"D027纹250-260g 单层网布 54""",浅淡灰000-73-00,12,Y,1,,,,AH2601118,2026-01-31 00:00:00,46054,,,,,,,
ALCPO2600624,Z25073-459,"250g 加密真美布 54""",海盐色036-90-02,115,Y,3,,,,AH2601118,2026-01-31 00:00:00,46054,,,,,,,
ALCPO2600624,Z25073-459-1,"250g 加密真美布 54""",海盐色036-90-02,127,Y,,,,,AH2601118,2026-01-31 00:00:00,46054,100+90+52=242,,,,,,
ALCPO2601885,Z26001-001,"TF18-Q08220g 磨毛布 54""",化石灰16-1102TPG,20,Y,1,,,实发25Y,AH260201,2026-02-02 00:00:00,,,,,,,,
,,小缸费,化石灰16-1102TPG,1,个,,,,,AH260201,2026-02-02 00:00:00,,,,,,,,
ALCPO2601885,Z26001-002,"TF18-Q08220g 磨毛布 54""",咖喱色16-0928TPG,39,Y,1,,,,AH260201,2026-02-02 00:00:00,,,,,,,,
,,小缸费,化石灰16-1102TPG,1,个,,,,,AH260201,2026-02-02 00:00:00,,,,,,,,
ALCPO2601885,Z26002-007,"YSH5106 300g单层网布58""",黑色,339,Y,9,,,,AH260201,2026-02-02 00:00:00,,,,,,,,
ALCPO2601885,Z26002-004,"YSH5106 300g单层网布58""",黑色,188,Y,,,,,AH260201,2026-02-02 00:00:00,,,,,,,,
ALCPO2601885,Z26002-005,"YSH5106 300g单层网布58""",黑色,123,Y,,,,,AH260201,2026-02-02 00:00:00,,,,,,,,
ALCPO2601885,Z26002-006,"YSH5106 300g单层网布58""",黑色,120,Y,,,,,AH260201,2026-02-02 00:00:00,90*4+87*3+80+72=773,,,,,,,
ALCPO2601885,Z26001-001,YS2159纹450g 三层网布,化石灰16-1102TPG,38,Y,1,,,,AH260202,2026-02-02 00:00:00,,,,,,,,
,,小缸费,化石灰16-1102TPG,1,个,,,,,AH260202,2026-02-02 00:00:00,,,,,,,,
ALCPO2601885,Z26001-002,YS2159纹450g 三层网布,咖喱色16-0928TPG,185,Y,3,,,60*2+65=185,AH260202,2026-02-02 00:00:00,,,,,,,,
,,小缸费,咖喱色16-0928TPG,1,个,,,,,AH260202,2026-02-02 00:00:00,,,,,,,,
ALCPO2600507,Z25072-415-2,"D027纹 250-260g 单层网布 54""",陀螺色154-62-08,231,Y,3,,,,AH260202,2026-02-02 00:00:00,100*2+31=231,,,,,,,
ALCP02600430,Z25111-386,"佳积布 54"" 180g",白色,342,Y,3,,,,AH260203,2026-02-03 00:00:00,2*130+82=342,,,,,,,
ALCPO2600624,Z25073-453,"加密真美布250g 54""",碳素黑155-31-00,691,Y,11,,,,AH260203,2026-02-03 00:00:00,,,,,,,,
ALCPO2600624,Z25073-453-1,"加密真美布250g 54""",碳素黑155-31-00,124,Y,,,,,AH260203,2026-02-03 00:00:00,,,,,,,,
ALCPO2601138,Z25073-453-3,"加密真美布250g 54""",碳素黑155-31-00,259,Y,,,,,AH260203,2026-02-03 00:00:00,99*5+98*3+97*2+93=1076,,,,,,,
ALCPO2600507,Z25072-415-2,"佳积布 54""250g",陀螺色154-62-08,369,Y,4,,,100*3+69=369,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2602230,Z25032-396,"天鹅绒54""",橡树土17-0610TPG,117,Y,1,,,,AH260204,2026-02-04 00:00:00,,,,,,,,
,,小缸费,橡树土17-0610TPG,1,个,,,,,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2600624,Z25079-448,"BK 单层网布54""200g",土黄038-81-05,70,Y,3,110*2+121=341,,,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2600624,Z25078-465,"BK 单层网布54""200g",土黄038-81-05,211,Y,,,,,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2600624,Z25078-465-1,"BK 单层网布54""200g",土黄038-81-05,21,Y,,,,,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2601138,Z25078-465-2,"BK 单层网布54""200g",土黄038-81-05,39,Y,,,,,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2601749,Z26003-008,"莱卡布 54""250g",米白色11-0103TPG,210,Y,5,,,,AH260204,2026-02-04 00:00:00,,,,,,,,
ALCPO2601749,Z26003-009,"莱卡布 54""250g",米白色11-0103TPG,207,Y,,,,,AH260204,2026-02-04 00:00:00,107+105+103+82+20=417,,,,,,,
,Z25086-450,"BK网布54"" 200g",白色109-98-01,10,Y,,,,,AH260205,2026-02-06 00:00:00,,,,,,,,
,Z25112-402,"BK网布 54""200g",黑色139-18-00,11,Y,,,,,AH260205,2026-02-06 00:00:00,,,,,,,,
,,海兵鞋垫增耗，寄顺丰,,,,,,,,,,,,,,,,,
ZRD26004-031,26FB00521,"250g 莱卡网布 54""",竹桃粉156-44-34,1,Y,1包,,,销样,AH260301,2026-03-05 00:00:00,,,,,,,,
ZRD26003-028,26FB00521,"250g 莱卡网布 54""",竹桃粉156-44-34,1,Y,,,,,AH260301,2026-03-05 00:00:00,,,,,,,,
ZRD26005-033,26FB00521,"250g 莱卡网布 54""",竹桃粉156-44-34,1,Y,,,,,AH260301,2026-03-05 00:00:00,,,,,,,,
ALCPO2604132,Z26003-010,"250g 莱卡布54""",黑色19-0303TPG,10,Y,1,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2604423,Z25072-420-2,"佳积布250G 54""",白色,35,Y,3,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2604423,Z25072-420-1,"佳积布250G 54""",白色,216,Y,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
,,102+100+49=251,,,,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2603852,Z25072-455-2,"250g 佳积布54""",白色109-98-01,25,Y,3,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2603852,Z25072-413-3,"250g 佳积布54""",白色109-98-01,11,Y,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2604423,Z25072-420-1,"250g 佳积布54""",白色109-98-01,152,Y,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2604423,Z25072-420-2,"250g 佳积布54""",白色109-98-01,27,Y,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2604423,Z25072-455-5,"250g 佳积布54""",白色109-98-01,14,Y,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
,,101+100+28=229,,,,,,,,AH260302,2026-03-05 00:00:00,,,,,,,,
ALCPO2604179,Z26002-004,"K107 250g 单层网布 54""",黑色,65,Y,3,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
ALCPO2604179,Z26002-005,"K107 250g 单层网布 54""",黑色,43,Y,,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
ALCPO2604179,Z26002-007,"K107 250g 单层网布 54""",黑色,113,Y,,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
,,2*100+21=221,,,,,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z24108-492-14,"D027纹 250-260g 单层网布54""",灰黑色19-0303TPX,119,Y,2,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z24108-492-13,"D027纹 250-260g 单层网布54""",灰黑色19-0303TPX,73,Y,,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
,,100+92=192,,,,,,,,AH260303,2026-03-06 00:00:00,,,,,,,,
