泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份请款明细,,,,,,,,,,,,,,,
TO：,安迪星（福建）体育用品有限责任公司,,,,,,,,,,,,,,
ATTN：高小姐,,,,,,,,,,,币别:人民币,,,,
日 期,送货单号,订单号,指令,型体,物料编号,刀模,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注
2026-01-12 00:00:00,FLDH260123,PA251227026,K250048,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,14.8,码,,6.8,,100.64,
2026-01-12 00:00:00,FLDH260123,PA251227026,K250049,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,14.1,码,,6.8,,95.88,
2026-01-12 00:00:00,FLDH260123,PA251227026,K250065,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,60.3,码,,6.8,,410.04,
2026-01-12 00:00:00,FLDH260124,PA251227026,K250066,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,17.8,码,,6.8,,121.04,
2026-01-12 00:00:00,FLDH260124,PA251227026,K250067,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,7,码,,6.8,,47.6,
2026-01-12 00:00:00,FLDH260124,PA251227026,K250068,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,34.3,码,,6.8,,233.24,
2026-01-12 00:00:00,FLDH260125,PA251227027,PPS0017,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,0.2,码,,6.8,,1.36,
2026-01-12 00:00:00,FLDH260125,PA251227027,PPS0019,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,0.2,码,,6.8,,1.36,
2026-01-12 00:00:00,FLDH260125,PA251227027,PPS0021,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,0.6,码,,6.8,,4.08,
2026-01-12 00:00:00,FLDH260125,PA251227026,K250031,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,2.9,码,,6.8,,19.72,
