泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
130,2026-01-08 00:00:00,AH2601020,AHJPO2600614,Z26093-2,镂空圆孔YS0391纹  单层网布,"310-320g *54""",白色109-98-01,全代,44,Y,9.8,,431.2,
131,2026-01-08 00:00:00,AH2601020,AHJPO2600614,Z26094-1,镂空圆孔YS0391纹  单层网布,"310-320g *54""",白色109-98-01,全代,114,Y,9.8,,1117.2,
132,2026-01-08 00:00:00,AH2601020,AHJPO2600614,Z26093-1,镂空圆孔YS0391纹  单层网布,"310-320g *54""",白色109-98-01,全代,146,Y,9.8,,1430.8,
133,2026-01-08 00:00:00,AH2601021,AHJPO2600614,Z26168-2,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
134,2026-01-08 00:00:00,AH2601021,AHJPO2600614,Z26168-2open,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
135,2026-01-08 00:00:00,AH2601021,AHJPO2600614,Z26168-1open,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,1,Y,6,,6,
136,2026-01-08 00:00:00,AH2601021,AHJPO2600614,Z26168-1,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,5,Y,6,,30,
137,2026-01-08 00:00:00,AH2601021,AHJPO2600614,Z26168-1,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,93,Y,6,,558,
138,2026-01-08 00:00:00,AH2601021,AHJPO2600614,Z26168-2,DJ132POLYPAG单层网布耐黄,"240g 54""",白色109-98-01,全代,9,Y,6,,54,
139,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26171-1,丝光布,"180g 54""",粉色152-57-30,全代,7,Y,3.3,,23.1,
140,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26165-2,YHM 354 单层网布耐黄,"54 """,白色109-98-01,全代,11,Y,9,,99,
141,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26165-1open,YHM 354 单层网布耐黄,"54 """,白色109-98-01,全代,2,Y,9,,18,
142,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26165-1,YHM 354 单层网布耐黄,"54 """,白色109-98-01,全代,29,Y,9,,261,
