泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251216011,V253268,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,0.2,码,,预补数,FLDH260104,2026-01-12 00:00:00,,
PA251217013,K250001,332D65W-A1K,C0504300,KS-26102K,"K106单层网布180g 54""",黄色16-1144TPG,234,码,3,排80KG,FLDH260105,2026-01-12 00:00:00,,
PA251217013,K250001,332D65W-A1K,C0504300,KS-26102K,"K106单层网布180g 54""",黄色16-1144TPG,1.2,码,,预补数,FLDH260105,2026-01-12 00:00:00,,
PA251217013,K250002,36294EW-A06,C0504300,KS-26102W,"K106单层网布180g 54""",黄色16-1144TPG,174.1,码,,0,FLDH260105,2026-01-12 00:00:00,,
PA251217013,K250002,36294EW-A06,C0504300,KS-26102W,"K106单层网布180g 54""",黄色16-1144TPG,0.7,码,,预补数,FLDH260105,2026-01-12 00:00:00,,
PA251227027,PPS0002,332D65W-A1K,C0504300,AS26011K-B,"K106单层网布180g 54""",黄色16-1144TPG,0.3,码,,0,FLDH260105,2026-01-12 00:00:00,,
PA251227027,PPS0005,36294EW-A06,C0504300,AS26011W-B,"K106单层网布180g 54""",黄色16-1144TPG,0.7,码,,0,FLDH260105,2026-01-12 00:00:00,158+160+97=415Y (多4Y),
PA251227027,PPS0008,372B5RW-A1B,C0504092,AS26011K,"K106单层网布180g 54""",109-98-01白色,1,码,1,0,FLDH260106,2026-01-12 00:00:00,,
PA251227026,K250010,372B5RW-A1B,C0504092,AS26011K,"K106单层网布180g 54""",109-98-01白色,0.8,码,,0,FLDH260106,2026-01-12 00:00:00,,
PA251227026,K250010,372B5RW-A1B,C0504092,AS26011K,"K106单层网布180g 54""",109-98-01白色,0.2,码,,预补数,FLDH260106,2026-01-12 00:00:00,,
PA251226003,V253226,100275869,C0501825,FL-SS25003U,"DJ132单层网布240g 54""",109-98-01白,33.9,码,,,FLDH260107,2026-01-12 00:00:00,,
PA251226003,V253226,100275869,C0501825,FL-SS25003U,"DJ132单层网布240g 54""",109-98-01白,0.1,码,,预补数,FLDH260107,2026-01-12 00:00:00,,
PA251227027,PPS0013,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,1,码,,0,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250086,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,0,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250086,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.1,码,,预补数,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250087,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,3.5,码,,0,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250087,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,预补数,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250088,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,6.2,码,,0,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250088,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.4,码,,预补数,FLDH260107,2026-01-12 00:00:00,,
