泉州阳硕鞋材有限公司,,,,,,,,,,,,收货人填 13706060768dick郑，,
送 货 单,,,,,,,,,,,,,
收货单位：福建安恒致远鞋业有限公司（越南）,,,,,,,NO.：,APEX2603006,,,,,
地址：福建省莆田市涵江区国欢镇林炳村涵华东路,,,,,,,送货日期：,2026-03-08 00:00:00,,,,,
订单号,指令号,材料名称,规格,颜色,数量,单位,支数,单价,金额,批号,,,
AHJPO2601313,ZVN25015-083open,8安 帆布,"54""",霜雲杉18-5622TPG,3,Y,,,,,APEX2601020,2026-01-23 00:00:00,
,,小缸费,,霜雲杉18-5622TPG,1,个,,,,,APEX2601020,2026-01-23 00:00:00,
AHJPO2580379,ZVN25001-075,8安 帆布,"54""",暗雲杉綠19-4524TPG,44,Y,,,,,APEX2601020,2026-01-23 00:00:00,
AHJPO2580379,ZVN25001-075open,8安 帆布,"54""",暗雲杉綠19-4524TPG,3,Y,,,,,APEX2601020,2026-01-23 00:00:00,
,,小缸费,,暗雲杉綠19-4524TPG,1,个,,,,,APEX2601020,2026-01-23 00:00:00,
AHJPO2601313,ZVN25015-082,210D 尼龙布,"54""",极度灰17-5104TPG,29,Y,1,,,,APEX2601021,2026-01-24 00:00:00,
AHJPO2601313,ZVN25015-082open,210D 尼龙布,"54""",极度灰17-5104TPG,2,Y,,,,,APEX2601021,2026-01-24 00:00:00,
AHJPO2601313,ZVN25015-082-1,210D 尼龙布,"54""",极度灰17-5104TPG,9,Y,,,,,APEX2601021,2026-01-24 00:00:00,
,,小缸费,,极度灰17-5104TPG,1,个,,,,,APEX2601021,2026-01-24 00:00:00,
AHJPO2607546,ZVN25002-077,8安帆布,"54""",黑色,119,Y,4,,,,APEX2601022,2026-01-28 00:00:00,
AHJPO2607546,ZVN25002-079,8安帆布,"54""",黑色,199,Y,,,,,APEX2601022,2026-01-28 00:00:00,
AHJPO2607546,ZVN25002-079-1,8安帆布,"54""",黑色,64,Y,,,,,APEX2601022,2026-01-28 00:00:00,100*3+85=385
AHJPO2601313,ZVN25015-081-1,佳积布,"180 54""",白玉髓12-4300TPG,7,Y,1,,,,APEX2601023,2026-01-29 00:00:00,
AHJPO2601313,ZVN25015-081open,佳积布,"180 54""",白玉髓12-4300TPG,3,Y,,,,,APEX2601023,2026-01-29 00:00:00,
AHJPO2601313,ZVN25015-081,佳积布,"180 54""",白玉髓12-4300TPG,41,Y,,,,,APEX2601023,2026-01-29 00:00:00,
,,小缸费,,白玉髓12-4300TPG,1,个,,,,,APEX2601023,2026-01-29 00:00:00,
AHJPO2613454,ZVN25002-051-2,8安帆布,"54""",淺沙褐14-1210TPG,66,Y,1,,,,APEX2603001,2026-03-05 00:00:00,
AHJPO2613454,ZVN25002-051-2open,8安帆布,"54""",淺沙褐14-1210TPG,4,Y,,,,,APEX2603001,2026-03-05 00:00:00,
AHJPO2616737,ZVN25008-040-5,毛巾布,"54""",明亮白11-0601 TPX,696,Y,8,,,,APEX2603002,2026-03-06 00:00:00,
,,97+95+94+40+96*2+91+87=696,,,,,,,,,APEX2603002,2026-03-06 00:00:00,
AHJPO2613454,ZVN25001-074-1,8安 帆布,"54""",赤熱綠13-0442TPG,89,Y,1,,,,APEX2603003,2026-03-07 00:00:00,
AHJPO2613454,ZVN25002-034-2,8安 帆布,"54""",暖褐色16-1318TPG,41,Y,1,,,,APEX2603003,2026-03-07 00:00:00,
,,小缸费,,暖褐色16-1318TPG,1,个,,,,,APEX2603003,2026-03-07 00:00:00,
AHJPO2613454,ZVN25002-008-13,8安 帆布,"54""",古沙色15-1314TPG,89,Y,1,,,,APEX2603003,2026-03-07 00:00:00,
AHJPO2613454,ZVN25002-022-2,8安 帆布,"54""",淺沙褐14-1210TPG,130,Y,2,,,,APEX2603003,2026-03-07 00:00:00,
AHJPO2616737,ZVN25004-026-2,8安 帆布,"54""",淺沙褐14-1210 TPG,40,Y,,,,,APEX2603003,2026-03-07 00:00:00,
120+50=170,,小缸费,,淺沙褐14-1210 TPG,1,个,,,,,APEX2603003,2026-03-07 00:00:00,
AHJPO2613454,ZVN25002-020-4,8安 帆布,"54""",米白11-0701TPG,122,Y,2,,,,APEX2603004,2026-03-07 00:00:00,
AHJPO2616737,ZVN25002-020-5,8安 帆布,"54""",米白11-0701 TPG,40,Y,,,,,APEX2603004,2026-03-07 00:00:00,
120+42=162,,小缸费,,米白11-0701 TPG,1,个,,,,,APEX2603004,2026-03-07 00:00:00,
AHJPO2613454,ZVN25002-018-10,8安 帆布,"54""",羊皮色14-1122TPG,130,Y,3,,,,APEX2603004,2026-03-07 00:00:00,
AHJPO2613454,ZVN25002-018-11,8安 帆布,"54""",羊皮色14-1122TPG,196,Y,,,,,APEX2603004,2026-03-07 00:00:00,
AHJPO2616737,ZVN25002-018-12,8安 帆布,"54""",羊皮色14-1122 TPG,27,Y,,,,,APEX2603004,2026-03-07 00:00:00,
,,120*2+113=353,,,,,,,,,APEX2603004,2026-03-07 00:00:00,
AHJPO2613454,ZVN25008-040-3,佳积布,"120g* 54""",白色,176,Y,4,,,,APEX2603005,2026-03-07 00:00:00,
AHJPO2613454,ZVN25008-040-4,佳积布,"120g* 54""",白色,29,Y,,,,,APEX2603005,2026-03-07 00:00:00,
AHJPO2613454,ZVN25010-064-2,佳积布,"120g* 54""",白色,73,Y,,,,,APEX2603005,2026-03-07 00:00:00,
AHJPO2613454,ZVN26001-001,佳积布,"120g* 54""",白色,177,Y,,,,,APEX2603005,2026-03-07 00:00:00,
AHJPO2616737,ZVN25008-040-5,佳积布,"120g* 54""",白色,156,Y,,,,,APEX2603005,2026-03-07 00:00:00,
,,190+51+180+190=611,,,,,,,,,APEX2603005,2026-03-07 00:00:00,
AHJPO2613454,ZVN25001-002-9,YS-0731 三明治网布,"54""",雨竹灰15-4101TPX,56,Y,1,,,,APEX2603006,2026-03-08 00:00:00,
AHJPO2613454,ZVN25001-004-5,YS-0731 三明治网布,"54""",法橡木13-0400TPG,13,Y,1,,,,APEX2603006,2026-03-08 00:00:00,
AHJPO2613454,ZVN25002-018-10,YS-0731 三明治网布,"54""",烏鴉咖19-0000TPG,35,Y,2,,,,APEX2603006,2026-03-08 00:00:00,
AHJPO2613454,ZVN25002-018-11,YS-0731 三明治网布,"54""",烏鴉咖19-0000TPG,52,Y,,,,,APEX2603006,2026-03-08 00:00:00,
AHJPO2616737,ZVN25002-018-12,YS-0731 三明治网布,"54""",烏鴉咖19-0000TPG,20,Y,,,,,APEX2603006,2026-03-08 00:00:00,
57+50=107,,小缸费,,烏鴉咖19-0000TPG,1,个,,,,,APEX2603006,2026-03-08 00:00:00,
合   计,,,,,176,Y,4,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,,APEX2603006,2026-03-08 00:00:00,
收货单位签章：,,,,,,,,,送货单位签章：戴春莲,,,,
第一联：存根(白)        第二联：客户(红)        第三联：请款(蓝)         第四联：仓库(黄),,,,,,,,,,,,,
