泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
送  货  单,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市星联鞋业有限公司,,,,,,,NO.：,XC2603010,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区西天尾镇南少林路777号,,,,,,,送货日期：,2026-03-07 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,
4510215774,3X000014M,WB11680,"250G 佳积布54""",白色,61,码,1,,,13.7公斤,XC2512007,2025-12-09 00:00:00,,,,,,,,,,,
,,WB10689,"180G佳积布54""",黑色,48,码,1,,,9公斤,XC2512009,2025-12-10 00:00:00,,,,,,,,,,,
,,FX000226,"200G拉毛四面弹54""",黑色,2,码,1,,,,XC2512009,2025-12-10 00:00:00,,,,,,,,,,,
,,WD000108,"360G XF8001氨纶布54""",黑色,2,码,1,,,,XC2512009,2025-12-10 00:00:00,,,,,,,,,,,
4510239540,2X003437,WD002119,"350G 拉毛四面弹54""",宝瓶蓝16-4530TPG,27,码,1,,,8.7公斤,XC2512010,2025-12-12 00:00:00,,,,,,,,,,,
,,,小缸费,宝瓶蓝16-4530TPG,1,个,,,,,XC2512010,2025-12-12 00:00:00,,,,,,,,,,,
4510239540,2X003437,WD000508,"350G 拉毛四面弹54""",玛瑙黑色,143,码,2,,,,XC2512011,2025-12-12 00:00:00,90+53=143，重量28.9+19.6=48.5,,,,,,,,,,
,,,小缸费,玛瑙黑色,1,个,,,,,XC2512011,2025-12-12 00:00:00,,,,,,,,,,,
4510239540,2X003439,WD000572,"350G 拉毛四面弹54""",光亮白色,111,码,2,,,,XC2512011,2025-12-12 00:00:00,54+57=111 重量19.1+20.1=39.2,,,,,,,,,,
,,,小缸费,光亮白色,1,个,,,,,XC2512011,2025-12-12 00:00:00,,,,,,,,,,,
4510239540,2X003441,WD002120,"350G  拉毛四面弹54""",幽蓝,30,码,1,,,11公斤,XC2512015,2025-12-19 00:00:00,实发32Y,,,,,,,,,,
,,,小缸费,幽蓝,1,个,,,,,XC2512015,2025-12-19 00:00:00,,,,,,,,,,,
4510243488,3X000189M,WB16877,"8安帆布54""",棕色,76,码,1,,,,XC2512015,2025-12-19 00:00:00,,,,,,,,,,,
4510242079,,WB10878,"210D牛津布54""",白色,4,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510244084,2X003459,WB10878,"210D牛津布54""",白色,18,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510244226,3X000329M,WB10878,"210D牛津布54""",白色,20,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510244288,2X003462M,WB10878,"210D牛津布54""",白色,11,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510245147,3X000341M,WB10878,"210D牛津布54""",白色,12,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510245147,2X003472,WB10878,"210D牛津布54""",白色,20,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510245231,2X003462M,WB10878,"210D牛津布54""",白色,5,码,,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510245231,2X003472,WB10878,"210D牛津布54""",白色,6,码,1,,,,XC2512016,2025-12-25 00:00:00,,,,,,,,,,,
4510242079,,WY000085,"210D牛津布54""",黑色,7,码,1,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
4510244084,3X000328M,WB11529,"210D尼龙牛津布58""",黑色,12,码,,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
4510244288,1X001783,WY000085,"210D牛津布54""",黑色,56,码,,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
