泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001199,WF005067,13117黑色飞织面6.5,黑色,3,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005068,13117黑色飞织面7,黑色,10,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005069,13117黑色飞织面7.5,黑色,20,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005070,13117黑色飞织面8,黑色,11,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005074,13117黑色飞织面10,黑色,40,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005075,13117黑色飞织面10.5,黑色,20,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005078,13117黑色飞织面12,黑色,8,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005079,13117黑色飞织面12.5,黑色,93,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001199,WF005080,13117黑色飞织面13,黑色,32,双,,,,,SHL2505024,2025-05-14 00:00:00,,,,,,,,,,
,2L001198,WF006441,13117暗蓝19-3929TPG飞织面9,暗蓝19-3929TPG,135,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001198,WF006445,13117暗蓝19-3929TPG飞织面11,暗蓝19-3929TPG,142,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001198,WF006447,13117暗蓝19-3929TPG飞织面12,暗蓝19-3929TPG,6,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006524,13117灰蓝18-4214TPG飞织面8.5,灰蓝18-4214TPG,76,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006525,13117灰蓝18-4214TPG飞织面9,灰蓝18-4214TPG,80,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006529,13117灰蓝18-4214TPG飞织面11,灰蓝18-4214TPG,50,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006530,13117灰蓝18-4214TPG飞织面11.5,灰蓝18-4214TPG,75,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001200,WF006531,13117灰蓝18-4214TPG飞织面12,灰蓝18-4214TPG,14,双,,,,,SHL2505025,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006412,13117冷灰COOL GRAY 7U飞织面8.5,冷灰COOL,83,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
,2L001201,WF006413,13117冷灰COOL GRAY 7U飞织面9,冷灰COOL,164,双,,,,,SHL2505026,2025-05-14 00:00:00,,,,,,,,,,
